time,open,high,low,close
2020-11-16T08:00:00Z,344.64,347.2,342.19,343.84
2020-11-16T12:00:00Z,344.04,350.61,343.14,349.9
2020-11-16T16:00:00Z,349.92,353.81,347.39,351.26
2020-11-16T20:00:00Z,351.06,353.49,347.53,348.9
2020-11-17T00:00:00Z,349.12,355.43,348.67,350.81
2020-11-17T04:00:00Z,350.11,354.44,350.11,354.23
2020-11-17T08:00:00Z,354.27,354.83,350.12,352.82
2020-11-17T12:00:00Z,353.12,358.93,352,358.67
2020-11-17T16:00:00Z,359,366.56,357.53,364.89
2020-11-17T20:00:00Z,365.2,366.11,360.47,364.67
2020-11-18T00:00:00Z,364.83,369.41,364.38,368.67
2020-11-18T04:00:00Z,369,373.49,345.47,360.76
2020-11-18T08:00:00Z,360.34,364.3,357.16,362.36
2020-11-18T12:00:00Z,362.36,363.03,349.42,357.19
2020-11-18T16:00:00Z,356.77,359.17,354.21,356.69
2020-11-18T20:00:00Z,356.98,363,354.24,361.99
2020-11-19T00:00:00Z,362.16,363.33,358.83,361.59
2020-11-19T04:00:00Z,361.53,361.82,356.44,356.8
2020-11-19T08:00:00Z,356.56,358.28,352.42,357.45
2020-11-19T12:00:00Z,357.57,362.1,356.54,360.9
2020-11-19T16:00:00Z,360.67,363.92,356.26,358.14
2020-11-19T20:00:00Z,358.07,359.59,354.88,357.01
2020-11-20T00:00:00Z,356.88,368,356.01,366.35
2020-11-20T04:00:00Z,366.14,372.24,363.01,370.5
2020-11-20T08:00:00Z,371.78,383.57,370.41,381.75
2020-11-20T12:00:00Z,381.44,385.58,377.59,381.26
2020-11-20T16:00:00Z,381.5,388.28,379.81,384.44
2020-11-20T20:00:00Z,384.56,386.74,380.14,384.42
2020-11-21T00:00:00Z,384.42,390.68,382.1,383.05
2020-11-21T04:00:00Z,383.09,386.33,379.67,384.99
2020-11-21T08:00:00Z,384.9,391.22,384,384.8
2020-11-21T12:00:00Z,384.8,407.97,382.8,405.95
2020-11-21T16:00:00Z,406.34,413.38,402.97,409.08
2020-11-21T20:00:00Z,408.81,417.1,404.71,416.66
2020-11-22T00:00:00Z,416.62,423.57,404.98,414.83
2020-11-22T04:00:00Z,413.69,414.23,404,408.36
2020-11-22T08:00:00Z,408.96,411.36,385,393.05
2020-11-22T12:00:00Z,392.94,404,391.87,403.46
2020-11-22T16:00:00Z,402.79,434.11,402.14,432.92
2020-11-22T20:00:00Z,432.64,438.49,419.88,422.29
2020-11-23T00:00:00Z,422.17,434,413.66,431.49
2020-11-23T04:00:00Z,430.81,441.07,430.6,437.1
2020-11-23T08:00:00Z,437.66,448.48,435.69,443.23
2020-11-23T12:00:00Z,443.61,455,432.74,445.32
2020-11-23T16:00:00Z,445.32,453.3,438.79,449.33
2020-11-23T20:00:00Z,449.32,461.82,446.45,458.48
2020-11-24T00:00:00Z,458.35,467.56,452.34,460.84
2020-11-24T04:00:00Z,460.33,465.37,444.85,455.6
2020-11-24T08:00:00Z,456.02,468,445.21,455.64
2020-11-24T12:00:00Z,455.64,456.17,445.92,455.66
2020-11-24T16:00:00Z,455.99,459.99,452.71,455.97
2020-11-24T20:00:00Z,455.25,459.74,447.77,454.06
2020-11-25T00:00:00Z,453.96,454.5,436.19,438.56
2020-11-25T04:00:00Z,438.55,447.73,435.24,444.12
2020-11-25T08:00:00Z,444.42,454.73,444.28,451.82
2020-11-25T12:00:00Z,452.26,453.04,443.54,444.25
2020-11-25T16:00:00Z,444.88,447,435.09,437.66
2020-11-25T20:00:00Z,437.95,439.97,412.59,424.65
2020-11-26T00:00:00Z,424.77,431,377.02,398.99
2020-11-26T04:00:00Z,398.46,402.02,379.28,385.75
2020-11-26T08:00:00Z,385.75,391.62,350,384.21
2020-11-26T12:00:00Z,384.32,398.19,377,380.8
2020-11-26T16:00:00Z,382.2,384.63,360.72,374.98
2020-11-26T20:00:00Z,375.84,397.09,375.1,390
2020-11-27T00:00:00Z,390.74,397.82,386.33,389.2
2020-11-27T04:00:00Z,388.83,396.5,385.16,387.43
2020-11-27T08:00:00Z,387.46,387.46,377.03,381.75
2020-11-27T12:00:00Z,382.06,388.75,370,370
2020-11-27T16:00:00Z,372.07,383.39,371,381.42
2020-11-27T20:00:00Z,381.58,390.45,379.88,390.09
2020-11-28T00:00:00Z,389.96,391.76,386.08,387.77
2020-11-28T04:00:00Z,387.54,388.29,383.87,387.16
2020-11-28T08:00:00Z,387.36,391.08,381.91,390.49
2020-11-28T12:00:00Z,390.51,404.39,388.55,403.29
2020-11-28T16:00:00Z,403.29,412.39,402.71,411.59
2020-11-28T20:00:00Z,412.2,413.06,403.39,405.43
2020-11-29T00:00:00Z,404.52,409.49,399.88,408.52
2020-11-29T04:00:00Z,407.84,408.99,404.19,407.92
2020-11-29T08:00:00Z,407.88,420.83,407.88,415.58
2020-11-29T12:00:00Z,415.42,419.4,412,418.38
2020-11-29T16:00:00Z,418.46,419.82,413.67,415.46
2020-11-29T20:00:00Z,415.51,434.78,415.21,432.85
2020-11-30T00:00:00Z,432.85,445,432.85,441.64
2020-11-30T04:00:00Z,440.79,441.51,434.83,438.94
2020-11-30T08:00:00Z,439.04,443.84,429.47,441.66
2020-11-30T12:00:00Z,441.83,458.54,440.8,446.32
2020-11-30T16:00:00Z,446.88,460.7,446.85,451.51
2020-11-30T20:00:00Z,451.35,461.9,449.29,461.89
2020-12-01T00:00:00Z,461.78,462,451.46,453.29
2020-12-01T04:00:00Z,452.9,458,450.51,457.16
2020-12-01T08:00:00Z,456.62,476.95,449.5,462.52
2020-12-01T12:00:00Z,462.66,464.39,420.09,452.86
2020-12-01T16:00:00Z,453,455.98,435.88,447.59
2020-12-01T20:00:00Z,447.59,449.08,435.48,437.47
2020-12-02T00:00:00Z,436.66,445.74,429.53,436.35
2020-12-02T04:00:00Z,437.9,448.36,430.59,447.76
2020-12-02T08:00:00Z,447.32,452.73,444.77,449.54
2020-12-02T12:00:00Z,448.85,449.59,440,443.59
2020-12-02T16:00:00Z,443.63,448,437.57,446.93
2020-12-02T20:00:00Z,447.3,450.1,445.18,446.79
2020-12-03T00:00:00Z,447.27,449.43,441.71,445.5
2020-12-03T04:00:00Z,444.94,448.59,438.64,447.37
2020-12-03T08:00:00Z,447.3,458.94,445.2,456.56
2020-12-03T12:00:00Z,456.88,459.79,450.73,459.3
2020-12-03T16:00:00Z,459.38,463.46,451.85,457.26
2020-12-03T20:00:00Z,457.04,460.93,454.79,459.13
2020-12-04T00:00:00Z,457.94,461.12,448.57,449.01
2020-12-04T04:00:00Z,448,452.87,447.4,451.64
2020-12-04T08:00:00Z,451.75,457.12,433.01,435.76
2020-12-04T12:00:00Z,435.66,443.39,432,436.77
2020-12-04T16:00:00Z,436.09,441.43,433.29,440.46
2020-12-04T20:00:00Z,440.86,440.86,420.83,423.52
2020-12-05T00:00:00Z,422.93,431.81,417.91,430.52
2020-12-05T04:00:00Z,431.03,439.48,429.82,437.14
2020-12-05T08:00:00Z,437.07,445.23,437.07,440.3
2020-12-05T12:00:00Z,440.59,443.57,436.47,441.99
2020-12-05T16:00:00Z,442.07,444.99,440.11,443.71
2020-12-05T20:00:00Z,444.34,445,440.31,445
2020-12-06T00:00:00Z,445.01,452,443.3,444.8
2020-12-06T04:00:00Z,444.71,447.61,443.36,447.37
2020-12-06T08:00:00Z,447.51,448.38,437.59,441.35
2020-12-06T12:00:00Z,441.51,444.33,434.79,442.86
2020-12-06T16:00:00Z,442.88,445.63,440.93,444.48
2020-12-06T20:00:00Z,444.02,450,441.17,449.09
