time,open,high,low,close
2021-03-10T01:00:00Z,1715.46,1719.57,1712.98,1713.75
2021-03-10T02:00:00Z,1713.75,1714,1710.958,1713.575
2021-03-10T03:00:00Z,1713.575,1713.59,1711.53,1712.68
2021-03-10T04:00:00Z,1712.68,1714.27,1712.465,1713.12
2021-03-10T05:00:00Z,1713.12,1714.067,1711.546,1712.96
2021-03-10T06:00:00Z,1712.96,1715.315,1709.766,1715.06
2021-03-10T07:00:00Z,1715.06,1716.736,1713.964,1715.305
2021-03-10T08:00:00Z,1715.305,1715.536,1710.196,1714.77
2021-03-10T09:00:00Z,1714.77,1715.482,1712.612,1714.325
2021-03-10T10:00:00Z,1714.325,1715.5,1711.155,1711.155
2021-03-10T11:00:00Z,1711.155,1712.151,1708.284,1711.904
2021-03-10T12:00:00Z,1711.904,1713.742,1710.677,1712.845
2021-03-10T13:00:00Z,1712.845,1723.71,1711.4,1720.106
2021-03-10T14:00:00Z,1720.106,1722.292,1715.638,1718.58
2021-03-10T15:00:00Z,1718.58,1720.26,1714.45,1719.146
2021-03-10T16:00:00Z,1719.146,1720.402,1714.621,1719.442
2021-03-10T17:00:00Z,1719.442,1720.559,1718.095,1719.398
2021-03-10T18:00:00Z,1719.398,1724.13,1716.336,1723.434
2021-03-10T19:00:00Z,1723.434,1726.115,1722.58,1724.05
2021-03-10T20:00:00Z,1724.05,1726.343,1723.486,1725.452
2021-03-10T21:00:00Z,1725.452,1726.845,1724.435,1726.745
2021-03-10T23:00:00Z,1726.745,1727.246,1726.33,1726.76
2021-03-11T00:00:00Z,1726.76,1727.954,1724.245,1725.096
2021-03-11T01:00:00Z,1725.096,1727.626,1723.324,1726.243
2021-03-11T02:00:00Z,1726.243,1732.324,1726.243,1730.186
2021-03-11T03:00:00Z,1730.186,1734.635,1729.93,1731.87
2021-03-11T04:00:00Z,1731.87,1732.917,1730.912,1732.271
2021-03-11T05:00:00Z,1732.271,1735.87,1731.655,1735.688
2021-03-11T06:00:00Z,1735.688,1735.69,1732.244,1732.37
2021-03-11T07:00:00Z,1732.37,1737.962,1731.436,1736.846
2021-03-11T08:00:00Z,1736.846,1739.805,1735.805,1739.017
2021-03-11T09:00:00Z,1739.017,1739.89,1733.399,1733.796
2021-03-11T10:00:00Z,1733.796,1736.745,1732.514,1736.02
2021-03-11T11:00:00Z,1736.02,1736.54,1731.505,1733.425
2021-03-11T12:00:00Z,1733.425,1737.15,1730.375,1735.88
2021-03-11T13:00:00Z,1735.88,1737.281,1727.456,1730.055
2021-03-11T14:00:00Z,1730.055,1731.62,1719.325,1722.925
2021-03-11T15:00:00Z,1722.925,1727.47,1719.836,1725.466
2021-03-11T16:00:00Z,1725.466,1726.088,1721.15,1724.438
2021-03-11T17:00:00Z,1724.438,1726.107,1721.91,1723.775
2021-03-11T18:00:00Z,1723.775,1728.365,1722.36,1724.508
2021-03-11T19:00:00Z,1724.508,1725.434,1722.735,1724.82
2021-03-11T20:00:00Z,1724.82,1724.82,1722.57,1723.738
2021-03-11T21:00:00Z,1723.738,1725.045,1721.615,1722.625
2021-03-11T23:00:00Z,1722.625,1723.652,1721.398,1722.7
2021-03-12T00:00:00Z,1722.7,1725.8,1722.64,1724.495
2021-03-12T01:00:00Z,1724.495,1728.02,1723.44,1725.015
2021-03-12T02:00:00Z,1725.015,1725.065,1718.74,1719.646
2021-03-12T03:00:00Z,1719.646,1719.775,1716.9,1718.345
2021-03-12T04:00:00Z,1718.345,1719.764,1717.991,1718.94
