time,open,high,low,close
2021-04-14T04:00:00Z,46386.71,46736,46321.03,46735.32
2021-04-14T05:00:00Z,46737.88,46969,46548.75,46651.29
2021-04-14T06:00:00Z,46630,47240.05,46548.08,46961.2
2021-04-14T07:00:00Z,46950,47010,46813.49,46878.48
2021-04-14T08:00:00Z,46878.48,47008.94,46075.42,46490
2021-04-14T09:00:00Z,46498.88,46646,45868.85,46317.86
2021-04-14T10:00:00Z,46301.61,46806,46232.15,46770.97
2021-04-14T11:00:00Z,46756.31,47168.43,46733.61,47025.19
2021-04-14T12:00:00Z,47031.08,47135.11,46426,46602.8
2021-04-14T13:00:00Z,46604.84,47020,46260,46329.63
2021-04-14T14:00:00Z,46332.51,46353.36,45532,45796.99
2021-04-14T15:00:00Z,45790,46034.15,45370,45846.16
2021-04-14T16:00:00Z,45830,46306,45666,46192.51
2021-04-14T17:00:00Z,46188.28,46330,45200.24,45277.95
2021-04-14T18:00:00Z,45268.93,45585.99,44821.13,45175.94
2021-04-14T19:00:00Z,45180,45466,44600,45249.72
2021-04-14T20:00:00Z,45247.57,45515.48,45054.28,45459.23
2021-04-14T21:00:00Z,45461.29,45700,45450.04,45683.32
2021-04-14T22:00:00Z,45680.05,45920.09,45540,45755.55
2021-04-14T23:00:00Z,45731.19,45836,45516,45779.63
2021-04-15T00:00:00Z,45779.63,46050,45520,45520
2021-04-15T01:00:00Z,45516,45876,45450.71,45536
2021-04-15T02:00:00Z,45600,45796,45331,45662.92
2021-04-15T03:00:00Z,45665.56,45920,45556,45843.62
2021-04-15T04:00:00Z,45824.57,46090,45718.89,45774.07
2021-04-15T05:00:00Z,45754.27,45976,45606.94,45874.77
2021-04-15T06:00:00Z,45910,46000,45626,45772.78
2021-04-15T07:00:00Z,45761.4,45937.38,45630,45670.5
2021-04-15T08:00:00Z,45675.02,45876,45504.57,45591.39
2021-04-15T09:00:00Z,45591.39,45650,45331,45448.45
2021-04-15T10:00:00Z,45448.45,45534.3,45200,45226.63
2021-04-15T11:00:00Z,45226.48,45386,45000,45306.68
2021-04-15T12:00:00Z,45284.52,45537.71,45263.52,45520
2021-04-15T13:00:00Z,45516.88,45816,45476.67,45715
2021-04-15T14:00:00Z,45715,45760,45440,45458.81
2021-04-15T15:00:00Z,45454,45600,45339,45582.81
2021-04-15T16:00:00Z,45559.36,45740,45392.51,45504.62
2021-04-15T17:00:00Z,45490.01,45555.28,45290,45461.19
2021-04-15T18:00:00Z,45465.82,45646.13,45420.01,45589.25
2021-04-15T19:00:00Z,45589.25,46174.82,45585.78,46040
2021-04-15T20:00:00Z,46040,46200,45930.47,46040
2021-04-15T21:00:00Z,46039.92,46320,45993.91,46068.37
2021-04-15T22:00:00Z,46043.42,46149.59,45928.02,45967.59
2021-04-15T23:00:00Z,45967.59,46044.32,45800,45929.84
2021-04-16T00:00:00Z,45929.84,46190,45829.31,46066.93
2021-04-16T01:00:00Z,46056,46138.92,45686,45886.33
2021-04-16T02:00:00Z,45896.98,46006,45676.25,45735.16
2021-04-16T03:00:00Z,45740,45966,45688.19,45784.59
2021-04-16T04:00:00Z,45750,45750,44819.68,44819.68
2021-04-16T05:00:00Z,44816,45279.09,44740,45004.58
2021-04-16T06:00:00Z,45016.19,45016.19,44524.73,44902.19
2021-04-16T07:00:00Z,44900,45016,44610,44860
2021-04-16T08:00:00Z,44860,45010,44602.14,44651.48
2021-04-16T09:00:00Z,44609.12,44674.91,44010.96,44161.83
2021-04-16T10:00:00Z,44160,44386,43633.89,43769.9
2021-04-16T11:00:00Z,43776,44230.38,43631.42,44200
2021-04-16T12:00:00Z,44204.87,44290,43953.55,44114.46
2021-04-16T13:00:00Z,44104.64,44495,43833.48,44080
2021-04-16T14:00:00Z,44038.68,44668.24,44031.26,44524.65
2021-04-16T15:00:00Z,44506,44700,44376,44657.27
2021-04-16T16:00:00Z,44657.27,44823.91,44476,44763.74
2021-04-16T17:00:00Z,44742.66,44846,44650,44658.06
2021-04-16T18:00:00Z,44655.73,44750,44282.52,44750
2021-04-16T19:00:00Z,44748.07,44796,44419.45,44705.14
2021-04-16T20:00:00Z,44701.38,44875,44652.41,44847.25
2021-04-16T21:00:00Z,44836.22,44990,44735.54,44756.12
2021-04-16T22:00:00Z,44736,44908.72,44620,44645.81
2021-04-16T23:00:00Z,44646.62,44656,44426,44438.55
2021-04-17T00:00:00Z,44438.55,44690,44289.28,44495.18
2021-04-17T01:00:00Z,44504.05,44905,44466.4,44806.99
2021-04-17T02:00:00Z,44826.7,45120,44826.7,45051.12
2021-04-17T03:00:00Z,45067.97,45402.3,44960,45173.97
2021-04-17T04:00:00Z,45201.06,45213.97,44953.91,45036.07
2021-04-17T05:00:00Z,45036.18,45089.31,44850,45004.79
2021-04-17T06:00:00Z,45004.79,45014.71,44810.24,44962.95
2021-04-17T07:00:00Z,44962.95,45175.81,44946,45025.09
2021-04-17T08:00:00Z,45037.05,45315.99,45031.82,45312.89
2021-04-17T09:00:00Z,45316,45329.9,44656,44786.79
2021-04-17T10:00:00Z,44783.07,44936,44500,44559.96
2021-04-17T11:00:00Z,44549.8,44610,44106,44274.43
2021-04-17T12:00:00Z,44270,44441.99,44026,44441.65
2021-04-17T13:00:00Z,44440.97,44463.96,43930.01,44395.43
2021-04-17T14:00:00Z,44379.41,44506,44076,44109.97
2021-04-17T15:00:00Z,44106,44120,43801.69,43947.91
2021-04-17T16:00:00Z,43949.65,44235.64,43746,44044.16
2021-04-17T17:00:00Z,44040,44184.5,43581.72,43640.12
2021-04-17T18:00:00Z,43640.12,44145.74,43583.83,44080.2
2021-04-17T19:00:00Z,44080.2,44336,44062.97,44311.39
2021-04-17T20:00:00Z,44302.23,44430,44243.96,44367.32
2021-04-17T21:00:00Z,44367.32,44488.87,44230,44328.24
2021-04-17T22:00:00Z,44328.24,44391.45,44090,44270
2021-04-17T23:00:00Z,44270,44376,43810,43825.79
2021-04-18T00:00:00Z,43825.79,44065.95,43375.28,43456
2021-04-18T01:00:00Z,43450,43660,43139.96,43333.02
2021-04-18T02:00:00Z,43309.65,43484.12,42946,43127.22
2021-04-18T03:00:00Z,43110,43192.47,40500,41874.37
2021-04-18T04:00:00Z,41862.5,41939.92,41036.01,41281.81
2021-04-18T05:00:00Z,41280,42255.36,41239.24,42199.26
2021-04-18T06:00:00Z,42160.03,44000,41500,41852.86
2021-04-18T07:00:00Z,41852.82,43600,41500,42435.22
2021-04-18T08:00:00Z,42433.06,42477.11,41110.29,41304.17
2021-04-18T09:00:00Z,41305.26,41490,40000,40590
2021-04-18T10:00:00Z,40554.31,41160.22,40266,40600
2021-04-18T11:00:00Z,40599.98,40964,39358.52,39449.26
2021-04-18T12:00:00Z,39456.22,40335.03,39200,40318.36
2021-04-18T13:00:00Z,40306,40486.91,40012.11,40398.41
2021-04-18T14:00:00Z,40389.63,40794.67,40116,40278.25
2021-04-18T15:00:00Z,40288.39,40570.75,39990,40528.07
2021-04-18T16:00:00Z,40513.43,40950.17,40405.3,40546
2021-04-18T17:00:00Z,40535.36,40681.54,40116,40316.09
2021-04-18T18:00:00Z,40316.09,40640.91,40146.01,40520
2021-04-18T19:00:00Z,40525.25,41026,40412.23,40754.39
2021-04-18T20:00:00Z,40754.39,41092.19,40576,41016.19
